epoch,train loss,reg loss,train acc,test loss,test acc
0,2.0003947147956262,0.0,0.0,1.6228229602177937,42.86
1,1.7407029408674974,0.0,0.0,1.324957387615936,55.1
2,1.5651218267587514,0.0,0.0,1.056178502362184,65.99
3,1.4587826048716521,0.0,0.0,0.94529214170244,68.73
4,1.424725110255755,0.0,0.0,0.8161187743899798,74.45
5,1.3678205675039536,0.0,0.0,0.7791311764957929,76.53
6,1.3419053436853947,0.0,0.0,0.8464269132325144,75.93
7,1.2727446589714442,0.0,0.0,0.7556606991724535,78.6
8,1.27759467172317,0.0,0.0,0.8139367573189012,75.4
9,1.2712894262411656,0.0,0.0,0.8468216477018414,72.76
10,1.283204586383624,0.0,0.0,0.880827389582239,72.98
11,1.2478893862320826,0.0,0.0,0.7277049169395909,80.5
12,1.2390907886700753,0.0,0.0,0.6840851692238239,80.06
13,1.2277362083013241,0.0,0.0,0.6214726148831724,82.01
14,1.2216928961949471,0.0,0.0,0.6597216622998016,81.73
15,1.1896841309773616,0.0,0.0,0.7272805083881725,79.5
16,1.204739390504666,0.0,0.0,0.8755519360002845,72.93
17,1.2048223863045375,0.0,0.0,0.6681652710293279,81.39
18,1.1879962720167943,0.0,0.0,0.7131161226166619,79.51
19,1.1979354379268794,0.0,0.0,0.7123937510480784,79.21
20,1.1958443743296159,0.0,0.0,0.6365031034055383,83.72
21,1.2171403596034416,0.0,0.0,0.6642592585448063,82.26
22,1.2005659953141823,0.0,0.0,0.6962500545713637,80.0
23,1.1897682618636352,0.0,0.0,0.6360968318250444,81.32
24,1.180604660587433,0.0,0.0,0.5811190295099008,85.34
25,1.1946808134134,0.0,0.0,0.6343109779285662,83.45
26,1.1728112811461473,0.0,0.0,0.7010805829606875,82.31
27,1.1854441669506905,0.0,0.0,0.9144418335924245,72.03
28,1.1841606937157803,0.0,0.0,0.6918167255141519,80.1
29,1.1519401521254808,0.0,0.0,0.5762489477191308,85.38
30,1.1748633042359964,0.0,0.0,0.6341575305871289,81.48
31,1.2011240298931416,0.0,0.0,0.6336313693812399,83.77
32,1.1738844687357928,0.0,0.0,0.6346609962709022,82.79
33,1.163630843315369,0.0,0.0,0.778944507993833,78.04
34,1.1550181296391364,0.0,0.0,0.5505596610030743,85.98
35,1.1603205157396121,0.0,0.0,0.6342319096579696,82.38
36,1.1748952532425905,0.0,0.0,0.6568896863797699,82.89
37,1.1794690278860238,0.0,0.0,0.6600917656012256,81.48
38,1.1358391424020131,0.0,0.0,0.7634129018494578,77.28
39,1.157490237401082,0.0,0.0,0.627391661357398,82.61
40,1.142881153485714,0.0,0.0,0.6436134113205804,83.09
41,1.1728649114951109,0.0,0.0,0.5512263591241355,86.21
42,1.1676290954534825,0.0,0.0,0.647305798048925,82.17
43,1.1286270162998102,0.0,0.0,0.7305867623801183,79.81
44,1.1655039357833372,0.0,0.0,0.579995139379694,84.84
45,1.1365444927643507,0.0,0.0,0.6679923672868748,82.39
46,1.157795094908812,0.0,0.0,0.7279669245084127,80.69
47,1.153600049859438,0.0,0.0,0.6842099000709225,81.18
48,1.1307538559039434,0.0,0.0,0.6569905916247705,79.21
49,1.1556778326248511,0.0,0.0,0.5982420868945845,84.55
50,1.1457001610444142,0.0,0.0,0.6678702993826433,81.67
51,1.1305813758037029,0.0,0.0,0.5899832853765199,84.22
52,1.1438876297229374,0.0,0.0,0.51698012695168,86.35
53,1.128678494080519,0.0,0.0,0.6306640695441853,83.39
54,1.1118521778247294,0.0,0.0,0.6292980123649944,81.51
55,1.152882794997631,0.0,0.0,0.6087606203074407,83.29
56,1.109660175595528,0.0,0.0,0.5847392034048986,85.88
57,1.157423769052212,0.0,0.0,0.5772257847617371,84.81
58,1.1287463646668654,0.0,0.0,0.5479666897744844,86.54
59,1.112147767115862,0.0,0.0,0.6972010268105401,80.21
60,1.1229008241341665,0.0,0.0,0.6860867807961474,81.75
61,1.1189670261664268,0.0,0.0,0.70778186935367,81.54
62,1.0990702664240812,0.0,0.0,0.6535456421399357,82.41
63,1.1240858505933713,0.0,0.0,0.5980478507099729,83.47
64,1.110050300298593,0.0,0.0,0.6011756658554077,84.86
65,1.106300855599917,0.0,0.0,0.6458132345267017,84.46
66,1.1380000703609907,0.0,0.0,0.6568766711938261,81.92
67,1.1016144458300028,0.0,0.0,0.5900610853927304,83.95
68,1.1100721560991726,0.0,0.0,0.6525330152174439,84.0
69,1.1041087469993494,0.0,0.0,0.6254606277051599,84.95
70,1.119471713518485,0.0,0.0,0.5407627769792923,85.68
71,1.1040726487071086,0.0,0.0,0.6371779526122893,84.1
72,1.0829385330279668,0.0,0.0,0.57965992646988,86.04
73,1.111206135306603,0.0,0.0,0.5638720907948234,84.72
74,1.1124152453281941,0.0,0.0,0.5511604469231884,86.96
75,1.0859174710053665,0.0,0.0,0.4975933080369776,88.27
76,1.1158072407429034,0.0,0.0,0.5534698105219639,86.96
77,1.1008598404817092,0.0,0.0,0.5712362214772388,85.88
78,1.1026644070179035,0.0,0.0,0.4836213763314064,88.39
79,1.0907678915139956,0.0,0.0,0.5733548408806927,86.5
80,1.0736681832717014,0.0,0.0,0.5503870727437915,86.81
81,1.0760113390210346,0.0,0.0,0.6683891328296276,80.69
82,1.1150650973121325,0.0,0.0,0.5956892636087205,83.4
83,1.0992475260908787,0.0,0.0,0.5175613128777706,87.59
84,1.0874379565318426,0.0,0.0,0.49405667998574,87.66
85,1.0804127760422535,0.0,0.0,0.5509009683372998,87.32
86,1.066942854034595,0.0,0.0,0.5040606320506394,88.01
87,1.0483250209154227,0.0,0.0,0.5730107643387534,86.88
88,1.0869986931482951,0.0,0.0,0.5481873127547178,86.4
89,1.0908138155555114,0.0,0.0,0.5779346248718223,86.35
90,1.074225455407913,0.0,0.0,0.5381346173358686,86.87
91,1.0674890408149131,0.0,0.0,0.6242248674835822,84.92
92,1.0493509967357684,0.0,0.0,0.5221047293056141,88.25
93,1.0766815026983236,0.0,0.0,0.5733711572006496,83.46
