epoch,train loss,reg loss,train acc,test loss,test acc
0,2.2364477389898054,0.0,tensor(17.4277),1.8569977704924767,tensor(32.6800)
1,2.0718970051178567,0.0,tensor(23.3831),1.776153695703757,tensor(36.7400)
2,2.02021716038386,0.0,tensor(25.9170),1.6550292800171207,tensor(39.6700)
3,1.983859252012693,0.0,tensor(27.8592),1.5505879972920273,tensor(42.6900)
4,1.9560048907231062,0.0,tensor(29.0948),1.4401250186592642,tensor(48.3700)
5,1.910658264771486,0.0,tensor(31.1800),1.3234716425038346,tensor(53.6100)
6,1.8771152111200187,0.0,tensor(32.5944),1.216909565106787,tensor(59.8300)
7,1.8428437003722558,0.0,tensor(34.0805),1.1233211960455385,tensor(61.9500)
8,1.8098708109977917,0.0,tensor(35.4670),1.1725167734454376,tensor(58.6600)
9,1.78193594064468,0.0,tensor(36.3913),1.0520981231121103,tensor(65.1400)
10,1.7653180822347982,0.0,tensor(37.0443),1.010602760194528,tensor(67.3300)
11,1.7452989376508272,0.0,tensor(37.6783),1.0070941369942945,tensor(66.9100)
12,1.725230328547649,0.0,tensor(38.0907),0.9270712630917327,tensor(70.0500)
13,1.7081441252659528,0.0,tensor(38.8845),0.9108921409857393,tensor(70.5100)
14,1.698065408376547,0.0,tensor(39.1638),0.9313655597995026,tensor(70.5700)
15,1.6807952783046625,0.0,tensor(39.8917),0.9195657751776956,tensor(69.8900)
16,1.665702276963454,0.0,tensor(40.2777),0.9164136575930046,tensor(70.0900)
17,1.6539417927081768,0.0,tensor(40.5826),0.832217109323752,tensor(73.3700)
18,1.6357482729813992,0.0,tensor(41.1278),0.8688353721541587,tensor(71.9800)
19,1.6279869159062703,0.0,tensor(41.3526),0.8144603191000043,tensor(73.1400)
20,1.6224291822849175,0.0,tensor(41.3863),0.7694205431023029,tensor(75.8500)
21,1.6094656543853956,0.0,tensor(41.9258),0.7501995087874056,tensor(75.9200)
22,1.5974224481827173,0.0,tensor(42.0363),0.7586914589910796,tensor(76.2400)
23,1.5936161371377797,0.0,tensor(42.2474),0.7677704282481261,tensor(75.2800)
24,1.5846134635118339,0.0,tensor(42.6133),0.7185259720291755,tensor(77.6900)
25,1.574921596967257,0.0,tensor(42.7842),0.7627904348903232,tensor(76.0800)
26,1.5726434918550345,0.0,tensor(42.7387),0.6948181183049174,tensor(79.2100)
27,1.566756512874212,0.0,tensor(43.0545),0.691407001680798,tensor(78.)
28,1.5587241952235882,0.0,tensor(43.0893),0.6903201004471442,tensor(79.2800)
29,1.5518981829667702,0.0,tensor(43.2711),0.7111204227413794,tensor(77.7400)
30,1.5466246412350582,0.0,tensor(43.5685),0.7306741144922044,tensor(77.3200)
31,1.5462538917859396,0.0,tensor(43.4735),0.7229812605814501,tensor(77.5200)
32,1.538398417754051,0.0,tensor(43.6913),0.7196728511892184,tensor(77.1800)
33,1.5328458345853366,0.0,tensor(43.8478),0.7189408814666247,tensor(77.0200)
34,1.5285365994159992,0.0,tensor(44.1488),0.6581198801897993,tensor(79.4200)
35,1.525534861210065,0.0,tensor(44.1450),0.6536818893268855,tensor(78.9900)
